customer_unique_id,frequency,recency,monetary,recency_score,monetary_score,frequency_score,RFM_score
0000366f3b9a7992bf8c76cfdf3221e2,1,161,129.9,4,4,1,414
0000b849f77a49e4a4ce2b2a4ca5be3f,1,164,18.9,4,1,1,411
0004aac84e0df4da2b147fca70cf8255,1,337,180.0,1,5,1,115
0004bd2a26a76fe21f786e4fbd80607f,1,195,154.0,3,4,1,314
00050ab1314c0e55a6ca13cf7181fecf,1,181,27.99,3,1,1,311
00053a61a98854899e70ed204dd4bafe,1,232,382.0,3,5,1,315
0005ef4cd20d2893f0d9fbd94d3c0d97,1,220,104.9,3,3,1,313
00082cbe03e478190aadbea78542e933,1,333,79.0,1,3,1,113
00090324bbad0e9342388303bb71ba0a,1,208,49.95,3,2,1,312
000949456b182f53c18b68d6babc79c1,1,178,64.89,3,2,1,312
000c8bdb58a29e7115cfc257230fb21b,1,309,13.9,1,1,1,111
000d460961d6dbfa3ec6c9f5805769e1,1,283,28.9,2,1,1,211
000e309254ab1fc5ba99dd469d36bdb4,1,115,59.9,4,2,1,412
000ec5bff359e1c0ad76a81a45cb598f,1,58,14.96,5,1,1,511
000ed48ceeb6f4bf8ad021a10a3c7b43,1,151,12.88,4,1,1,411
000fbf0473c10fc1ab6f8d2d286ce20c,1,84,285.8,5,5,1,515
0010fb34b966d44409382af9e8fd5b77,1,227,49.95,3,2,1,312
0014a5a58da615f7b01a4f5e194bf5ea,1,272,88.0,2,3,1,213
0015752e079902b12cd00b9b7596276b,1,76,59.8,5,2,1,512
00172711b30d52eea8b313a7f2cced02,2,66,74.5,5,3,2,523
001928b561575b2821c92254a2327d06,1,54,136.89000000000001,5,4,1,514
00196c4c9a3af7dd2ad10eade69c926f,1,82,22.32,5,1,1,511
00196fdb2bf9edfc35e88ebfbcf8d781,1,237,12.9,2,1,1,211
0019da6aa6bcb27cc32f1249bd12da05,1,249,79.9,2,3,1,213
0019e8c501c85848ac0966d45226fa1d,1,170,159.99,4,4,1,414
