year,Sigla UF,access_to_fixed_internet,access_to_mobile_internet
2010,AC,17536,540755
2010,AL,38113,2339781
2010,AM,59217,2600713
2010,AP,2204,524248
2010,BA,341104,10410409
2010,CE,193868,6383731
2010,DF,309550,4126178
2010,ES,192011,3402197
2010,GO,333964,5755568
2010,MA,61963,2929169
2010,MG,1151707,18190131
2010,MS,129099,2547555
2010,MT,164230,2996221
2010,PA,109477,4919573
2010,PB,89590,2725418
2010,PE,214165,7733080
2010,PI,47835,1869083
2010,PR,1010639,9742979
2010,RJ,1343055,16813701
2010,RN,63659,2719222
2010,RO,52212,1334321
2010,RR,3890,308121
2010,RS,810387,11063677
2010,SC,569212,5912143
2010,SE,50446,1802356
2010,SP,5087995,44884223
2010,TO,44689,1024707
2010,AC,17536,545349
2010,AL,38113,2362963
2010,AM,59217,2645759
2010,AP,2204,530800
2010,BA,341104,10544801
2010,CE,193868,6432959
2010,DF,309550,4143146
2010,ES,192011,3422497
2010,GO,333964,5796719
2010,MA,61963,2981055
2010,MG,1151707,18258182
2010,MS,129099,2561600
2010,MT,164230,3013039
2010,PA,109477,4995998
2010,PB,89590,2761094
2010,PE,214165,7795123
2010,PI,47835,1896190
2010,PR,1010639,9825028
2010,RJ,1343055,16847573
2010,RN,63659,2751556
2010,RO,52212,1345142
2010,RR,3890,310045
2010,RS,810387,11120612
2010,SC,569212,5950835
2010,SE,50446,1823873
2010,SP,5087995,45068545
2010,TO,44689,1040555
2010,AC,21043,556621
2010,AL,42661,2413042
2010,AM,67173,2711945
2010,AP,5781,540821
2010,BA,366929,10743348
2010,CE,205080,6558736
2010,DF,362107,4173236
2010,ES,184327,3450119
2010,GO,373408,5860167
2010,MA,66100,3061028
2010,MG,1233627,18451580
2010,MS,143057,2594185
2010,MT,158419,3059372
2010,PA,111945,5111003
2010,PB,96022,2829842
2010,PE,235687,7950490
2010,PI,52173,1951940
2010,PR,992835,9980789
2010,RJ,1468265,16918858
2010,RN,74053,2802364
2010,RO,56804,1367802
2010,RR,5256,316838
2010,RS,832716,11225380
2010,SC,563467,6028213
2010,SE,54032,1853210
2010,SP,5331093,45536160
2010,TO,44361,1062712
2010,AC,21043,562784
2010,AL,42661,2444805
2010,AM,67173,2737886
2010,AP,5781,543563
2010,BA,366929,10862245
2010,CE,205080,6646430
2010,DF,362107,4205434
2010,ES,184327,3466885
2010,GO,373408,5929334
2010,MA,66100,3111296
2010,MG,1233627,18558513
2010,MS,143057,2611053
2010,MT,158419,3083844
2010,PA,111945,5159383
2010,PB,96022,2882934
2010,PE,235687,8060595
2010,PI,52173,1996456
2010,PR,992835,10098900
2010,RJ,1468265,16973615
2010,RN,74053,2842342
2010,RO,56804,1394200
2010,RR,5256,317377
2010,RS,832716,11289453
2010,SC,563467,6083017
2010,SE,54032,1866576
2010,SP,5331093,45950218
2010,TO,44361,1086300
2010,AC,21043,576225
2010,AL,42661,2494879
2010,AM,67173,2800792
2010,AP,5781,556770
2010,BA,366929,11092445
2010,CE,205080,6802084
2010,DF,362107,4124960
2010,ES,184327,3524415
2010,GO,373408,6182869
2010,MA,66100,3231647
2010,MG,1233627,18783539
2010,MS,143057,2642332
2010,MT,158419,3147544
2010,PA,111945,5270653
2010,PB,96022,2973871
2010,PE,235687,8247616
2010,PI,52173,2085931
2010,PR,992835,10209679
2010,RJ,1468265,17154390
2010,RN,74053,2908403
2010,RO,56804,1436057
2010,RR,5256,327285
2010,RS,832716,11387829
2010,SC,563467,6143012
2010,SE,54032,1901621
2010,SP,5331093,46576443
2010,TO,44361,1127553
2010,AC,21171,581308
2010,AL,44235,2513155
2010,AM,70423,2822965
2010,AP,5756,564159
2010,BA,390962,11229814
2010,CE,227507,6883553
2010,DF,371023,4147390
2010,ES,223200,3539650
2010,GO,393894,6230002
2010,MA,67761,3298171
2010,MG,1286152,18857371
2010,MS,148697,2656132
2010,MT,162915,3165286
2010,PA,120410,5319275
2010,PB,107488,3016878
2010,PE,256264,8316546
2010,PI,53745,2146101
2010,PR,1024906,10309452
2010,RJ,1498570,17202490
2010,RN,77781,2939146
2010,RO,59071,1462877
2010,RR,5286,330604
2010,RS,901589,11462438
2010,SC,610914,6186059
2010,SE,55014,1915196
2010,SP,5709778,46886820
2010,TO,45221,1152136
2010,AC,21171,590648
2010,AL,44235,2541943
2010,AM,70423,2865466
2010,AP,5756,578931
2010,BA,390962,11364797
2010,CE,227507,6968274
2010,DF,371023,4178248
2010,ES,223200,3564980
2010,GO,393894,6311475
2010,MA,67761,3384876
2010,MG,1286152,19024002
2010,MS,148697,2676952
2010,MT,162915,3187463
2010,PA,120410,5392114
2010,PB,107488,3069565
2010,PE,256264,8430975
2010,PI,53745,2223516
2010,PR,1024906,10446504
2010,RJ,1498570,17258996
2010,RN,77781,2975625
2010,RO,59071,1496658
2010,RR,5286,338386
2010,RS,901589,11541903
2010,SC,610914,6254757
2010,SE,55014,1933254
2010,SP,5709778,47239931
2010,TO,45221,1180932
2010,AC,21171,601732
2010,AL,44235,2592213
2010,AM,70423,2915564
2010,AP,5756,595955
2010,BA,390962,11411977
2010,CE,227507,7129595
2010,DF,371023,4214821
2010,ES,223200,3594676
2010,GO,393894,6419701
2010,MA,67761,3497146
2010,MG,1286152,19253538
2010,MS,148697,2703441
2010,MT,162915,3228572
2010,PA,120410,5496725
2010,PB,107488,3143034
2010,PE,256264,8589785
2010,PI,53745,2289058
2010,PR,1024906,10570070
2010,RJ,1498570,17406384
2010,RN,77781,3027875
2010,RO,59071,1532050
2010,RR,5286,346106
2010,RS,901589,11600616
2010,SC,610914,6325065
2010,SE,55014,1956465
2010,SP,5709778,47769424
2010,TO,45221,1216807
2010,AC,21442,612347
2010,AL,71066,2631446
2010,AM,71783,2968790
2010,AP,6397,610241
2010,BA,397431,11565673
2010,CE,260145,7243112
2010,DF,380039,4225036
2010,ES,229175,3603310
2010,GO,407678,6490372
2010,MA,71560,3580607
2010,MG,1350898,19395257
2010,MS,172172,2729190
2010,MT,168239,3262624
2010,PA,124077,5595136
2010,PB,110326,3202835
2010,PE,252254,8755598
2010,PI,55189,2341784
2010,PR,1048451,10702597
2010,RJ,1594075,17494760
2010,RN,81082,3076468
2010,RO,60256,1566035
2010,RR,5287,354501
2010,RS,946626,11713778
2010,SC,629560,6390680
2010,SE,56034,1971701
2010,SP,6033871,48144735
2010,TO,46463,1243529
2010,AC,21442,623758
2010,AL,71066,2678224
2010,AM,71783,3030392
2010,AP,6397,624286
2010,BA,397431,11838492
2010,CE,260145,7401146
2010,DF,380039,4320421
2010,ES,229175,3630281
2010,GO,407678,6615631
2010,MA,71560,3687124
2010,MG,1350898,19602812
2010,MS,172172,2772088
2010,MT,168239,3308971
2010,PA,124077,5730540
2010,PB,110326,3256508
2010,PE,252254,8945139
2010,PI,55189,2407770
2010,PR,1048451,10811561
2010,RJ,1594075,17680518
2010,RN,81082,3132015
2010,RO,60256,1602157
2010,RR,5287,365602
2010,RS,946626,11852492
2010,SC,629560,6477951
2010,SE,56034,2000497
2010,SP,6033871,48775786
2010,TO,46463,1267088
2010,AC,21442,635062
2010,AL,71066,2728913
2010,AM,71783,3106526
2010,AP,6397,636522
2010,BA,397431,12149063
2010,CE,260145,7548460
2010,DF,380039,4394981
2010,ES,229175,3658911
2010,GO,407678,6717380
2010,MA,71560,3809434
2010,MG,1350898,19848628
2010,MS,172172,2823582
2010,MT,168239,3351355
2010,PA,124077,5887794
2010,PB,110326,3321120
2010,PE,252254,9167874
2010,PI,55189,2482714
2010,PR,1048451,11009233
2010,RJ,1594075,17858826
2010,RN,81082,3194124
2010,RO,60256,1637428
2010,RR,5287,373713
2010,RS,946626,11975670
2010,SC,629560,6500804
2010,SE,56034,2027048
2010,SP,6033871,49395251
2010,TO,46463,1293570
2010,AC,21603,658802
2010,AL,75867,2798956
2010,AM,73646,3210296
2010,AP,6380,656662
2010,BA,412082,12561991
2010,CE,275200,7734210
2010,DF,385668,4501606
2010,ES,239043,3749024
2010,GO,420748,6874719
2010,MA,76868,3981782
2010,MG,1400836,20415733
2010,MS,175457,2888972
2010,MT,171584,3417661
2010,PA,118216,6149424
2010,PB,111706,3410413
2010,PE,255636,9371357
2010,PI,57171,2586292
2010,PR,1103315,11339341
2010,RJ,1636644,18300849
2010,RN,85962,3270160
2010,RO,60411,1693224
2010,RR,6277,385042
2010,RS,1036523,12304739
2010,SC,662913,6692697
2010,SE,60912,2066689
2010,SP,6338938,50590165
2010,TO,46957,1333227
2011,AC,22732,670667
2011,AL,70873,2853267
2011,AM,71241,3197519
2011,AP,3213,645778
2011,BA,401986,12823768
2011,CE,302421,7851285
2011,DF,385806,4585967
2011,ES,240379,3784744
2011,GO,423629,6996769
2011,MA,76959,3936583
2011,MG,1440396,20691794
2011,MS,175343,2926217
2011,MT,170218,3451482
2011,PA,121974,6147376
2011,PB,110004,3482772
2011,PE,248281,9543334
2011,PI,60802,2652371
2011,PR,1123304,11518044
2011,RJ,2117134,18473172
2011,RN,82855,3313188
2011,RO,60175,1722947
2011,RR,5070,384782
2011,RS,993071,12416850
2011,SC,645168,6761916
2011,SE,60514,2092078
2011,SP,6182243,50865811
2011,TO,47262,1360496
2011,AC,23164,677821
2011,AL,73063,2881206
2011,AM,74448,3313957
2011,AP,3343,673751
2011,BA,420451,13054489
2011,CE,310961,7953421
2011,DF,282949,4644171
2011,ES,249832,3810396
2011,GO,432013,7085861
2011,MA,80670,4042115
2011,MG,1352400,20795192
2011,MS,180276,2958308
2011,MT,172776,3476841
2011,PA,126926,6403166
2011,PB,113596,3535502
2011,PE,265694,9657719
2011,PI,63442,2705572
2011,PR,1138478,11699117
2011,RJ,2149014,18597799
2011,RN,115943,3318398
2011,RO,61079,1746950
2011,RR,5336,396943
2011,RS,1008594,12511589
2011,SC,653099,6825796
2011,SE,62390,2122697
2011,SP,6258691,51295744
2011,TO,48005,1381691
2011,AC,24189,688067
2011,AL,74825,2921432
2011,AM,76695,3359748
2011,AP,3387,680436
2011,BA,438492,13334805
2011,CE,313631,8058738
2011,DF,399387,4720588
2011,ES,254926,3847179
2011,GO,441999,7194153
2011,MA,81781,4273012
2011,MG,1515668,20948281
2011,MS,183889,3005856
