,product_width_cm,product_le,product_id,price,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm
1920,16.0,3060,17606c7d7254ed1f0351fd48a28be932,44.99,cama_mesa_banho,53.0,640.0,2.0,1100.0,16.0,10.0
3926,19.0,14742,727017cd91a0361b8ae4cfcff15e9682,59.9,utilidades_domesticas,45.0,207.0,1.0,1200.0,19.0,22.0
3928,48.0,8896,44b63b148b673cb9a06672f06683b9b4,124.99,cama_mesa_banho,40.0,384.0,1.0,2555.0,55.0,17.0
5094,35.0,6321,30d1842be9c62546d3fb853119602ac2,180.0,eletrodomesticos_2,50.0,914.0,3.0,11900.0,65.0,35.0
6379,16.0,24340,be62f0c24387eae79f18265ad2a5d8cc,24.9,esporte_lazer,60.0,2214.0,1.0,4100.0,16.0,10.0
6410,11.0,3423,1a06a6a66ab23d70e02b8f92650e268f,7.9,casa_conforto,33.0,360.0,3.0,150.0,16.0,2.0
6419,19.0,746,0602bc6086443c4e9b9e5ba88119ce08,66.0,perfumaria,32.0,219.0,1.0,133.0,21.0,12.0
7498,12.0,163,014d94f219fbff1166b9cf700eee36b2,199.9,relogios_presentes,50.0,556.0,1.0,400.0,18.0,12.0
7499,13.0,7615,3ac5a9834cdb5e3a4e47c3535adbff74,169.9,relogios_presentes,51.0,667.0,1.0,350.0,20.0,13.0
7699,40.0,16014,7c37e152261f0a96f89c364bd971a90b,20.0,casa_construcao,56.0,1081.0,4.0,300.0,100.0,6.0
7947,15.0,573,04d70d184a7c12c93cecd9c0d8b5ad69,110.32,beleza_saude,60.0,918.0,1.0,150.0,22.0,3.0
10275,15.0,30012,ea546947e2412f88a20ac74103592b42,137.9,beleza_saude,60.0,918.0,1.0,200.0,22.0,3.0
10276,15.0,6030,2e2b9bfa91068239d5fb2b39764b92a5,137.9,beleza_saude,69.0,918.0,1.0,50.0,22.0,3.0
10920,11.0,22418,afab5f7ab5c82f92ddcdc46c4cd85fbc,24.9,fashion_bolsas_e_acessorios,36.0,95.0,6.0,150.0,16.0,9.0
11687,15.0,22852,b2fb8ccacff645e701cd692064ad09c9,36.99,cama_mesa_banho,56.0,95.0,1.0,550.0,20.0,10.0
11693,15.0,6388,315c6373ff469f7b7f60bbb36c319f7b,36.99,cama_mesa_banho,56.0,105.0,1.0,550.0,20.0,10.0
11695,15.0,10932,54971206521793b44053a9c348d148c2,36.99,cama_mesa_banho,56.0,95.0,1.0,500.0,20.0,10.0
11697,15.0,10965,54d9260785f11c05ad373ce8465212da,47.99,cama_mesa_banho,60.0,106.0,1.0,750.0,20.0,10.0
12142,14.0,10241,4f27f0b527bb700ed8541270356a38f3,28.9,esporte_lazer,56.0,687.0,1.0,374.0,22.0,14.0
13470,30.0,8150,3eeb9c7bc48cbf70ee22b1b1361bd0c3,189.9,moveis_decoracao,45.0,2359.0,2.0,7600.0,50.0,30.0
13820,15.0,25147,c47696608d548c9999a92966e435b3f6,99.9,esporte_lazer,43.0,248.0,2.0,850.0,60.0,15.0
13899,16.0,27747,d83cba631d40af7f65eeac52132ee096,49.9,utilidades_domesticas,27.0,758.0,1.0,450.0,16.0,12.0
13946,25.0,1741,0d86df06a3a526cbe70d2e56c50a0b7a,130.0,informatica_acessorios,26.0,978.0,3.0,1400.0,25.0,15.0
14708,17.0,3029,1716ea399ed8ee62ba811e6f55180f45,3.49,automotivo,25.0,712.0,1.0,200.0,21.0,17.0
14932,60.0,14390,6fe7ef5f743e7b92a2c74264f40d0437,148.7,Sin Información,Sin Información,Sin Información,Sin Información,6100.0,80.0,5.0
15670,16.0,27525,d670c0f6be30a062ebd8f8612ea82d71,178.9,telefonia_fixa,39.0,975.0,3.0,450.0,16.0,8.0
16196,19.0,26450,ce49d8be84e535ca2a5eb0e76c09c348,89.0,fashion_bolsas_e_acessorios,45.0,1012.0,6.0,100.0,17.0,5.0
16348,16.0,24536,bfde0959ec5f62871403b693d2fe68d2,69.99,cama_mesa_banho,59.0,403.0,1.0,850.0,16.0,10.0
16350,16.0,24198,bd5110ad5f718f7c3dded1c18b4b135e,69.99,cama_mesa_banho,58.0,402.0,1.0,950.0,16.0,10.0
16352,16.0,14962,73fbb5c7d95425e37d003af6ee943997,69.99,cama_mesa_banho,57.0,404.0,1.0,800.0,16.0,10.0
17084,11.0,986,07a6e4e1f838d9d39277d13c9b411dc4,69.9,fashion_bolsas_e_acessorios,50.0,729.0,6.0,100.0,16.0,9.0
17085,17.0,18216,8e3e3059aabb0c13679db43619590ad5,199.9,fashion_bolsas_e_acessorios,47.0,388.0,4.0,200.0,17.0,9.0
17334,45.0,15521,784c94d1803e49492d2758907914b26c,109.9,pet_shop,55.0,852.0,1.0,20800.0,40.0,40.0
19094,12.0,21033,a4d8943cfb74fde740be042b8a042d8d,165.0,ferramentas_jardim,57.0,1123.0,1.0,2700.0,34.0,37.0
19363,25.0,9705,4afba85a48ad3d91d79215ba93ddb023,24.9,utilidades_domesticas,46.0,166.0,3.0,800.0,25.0,25.0
19364,25.0,23466,b7c82520f8817fc72f7f5ac962035260,24.9,utilidades_domesticas,46.0,206.0,3.0,50.0,25.0,25.0
19680,20.0,11946,5c995522494b7e399aa98537516e1c20,99.99,cama_mesa_banho,39.0,276.0,1.0,1650.0,30.0,10.0
19750,35.0,1678,0cf1296fa38622de944eb05701b4ff34,46.8,Sin Información,Sin Información,Sin Información,Sin Información,1200.0,35.0,35.0
20521,13.0,32739,ffb2e8c1ddc7c3e590d2bc4c91de53e1,48.99,moveis_decoracao,43.0,534.0,1.0,600.0,65.0,2.0
20522,13.0,9256,479d5974c7824b584a62c88885c957b4,48.99,moveis_decoracao,49.0,534.0,1.0,600.0,65.0,2.0
22349,38.0,21922,ac20a9614b6db9e7289b85c4f4b6216a,40.0,eletrodomesticos,59.0,190.0,1.0,1250.0,65.0,8.0
22881,11.0,28181,dbb274a4fa7cdd5e025c365b70a41d99,24.9,fashion_bolsas_e_acessorios,45.0,403.0,3.0,100.0,16.0,9.0
22882,11.0,14773,72acc66d907f5fa13bcd1df22696c73a,24.9,fashion_bolsas_e_acessorios,59.0,443.0,5.0,150.0,16.0,5.0
23622,25.0,3438,1a14237ecc2fe3772b55c8d4e11ccb35,14.9,moveis_decoracao,58.0,1405.0,3.0,150.0,35.0,2.0
23623,35.0,31592,f6bd09259655a78e706a0caa947299db,9.99,moveis_decoracao,45.0,568.0,1.0,300.0,35.0,10.0
23860,20.0,20755,a25583531530c0913ea4dee2c5c73685,7.0,perfumaria,30.0,138.0,1.0,150.0,20.0,7.0
23862,16.0,10592,521527593ca1726b992318e034dd5690,19.99,perfumaria,30.0,138.0,1.0,150.0,22.0,7.0
23894,35.0,9907,4c9d4ba4d612c9cb5c7180d711077d33,76.99,cama_mesa_banho,55.0,410.0,1.0,1800.0,40.0,8.0
